target_country,AQL,RMSE,MAE
AT,6.235379858,24.98296356,15.35824966
BE,5.036035712,17.7782402,12.68030453
BG,9.141950467,35.29718018,22.48820877
CZ,6.766105591,28.03968048,16.64916801
DE_LU,5.675211353,24.33925819,14.21187496
DK_1,7.23650433,28.72856903,18.10281754
DK_2,8.906220128,34.54876328,22.18241119
EE,15.44876893,59.81683731,37.15722275
ES,5.723662518,19.09057426,14.38597775
FI,6.707723308,29.37099648,17.06012535
FR,5.58250724,18.80226707,13.89441776
GR,7.881742915,29.74291229,19.56412125
HR,7.418974837,27.2415123,18.29859543
HU,7.544218097,29.80471611,18.70653725
IT_CALA,4.655577161,17.17219353,11.32023811
IT_CNOR,3.961362276,14.01717949,9.75647068
IT_CSUD,3.374976082,11.56938744,8.273952484
IT_NORD,4.646027413,16.86706352,11.48449707
IT_SARD,4.307263855,16.12107468,10.69547081
IT_SICI,4.19153509,16.09834862,10.36683369
IT_SUD,4.199660448,15.99321079,10.25925541
LT,13.16192131,56.81833267,32.0144043
LV,13.44706134,57.05997086,32.61528015
NL,6.031332202,23.99193001,14.98626804
NO_1,4.784973098,19.12781906,11.86316872
NO_2,4.371832679,18.64122391,10.76494789
NO_3,3.639973517,14.55818653,8.704136848
NO_4,3.001586215,16.05030632,7.047659874
NO_5,3.644592085,15.17851353,8.853795052
PL,7.022590293,30.33264923,17.11771393
PT,5.765213321,19.32447433,14.48550892
RO,7.575886389,29.38085747,18.78676987
SE_1,4.664536177,20.39671326,11.29158974
SE_2,4.262765243,19.43413353,10.52340889
SE_3,7.091790263,28.30573463,17.81413651
SE_4,7.556910538,29.61832237,19.00178528
SI,7.051768918,26.38991928,17.4362545
SK,7.222771912,28.5419426,17.68847084
